Date,Time,GHI_clear,GHI
2/27,23,534,375
2/28,0,336,336
2/28,1,123,123
2/28,2,0,0
2/28,3,0,0
2/28,4,0,0
2/28,5,0,0
2/28,6,0,0
2/28,7,0,0
2/28,8,0,0
2/28,9,0,0
2/28,10,0,0
2/28,11,0,0
2/28,12,0,0
2/28,13,0,0
2/28,14,0,0
2/28,15,80,72
2/28,16,287,287
2/28,17,492,492
2/28,18,660,660
2/28,19,770,770
2/28,20,813,813
2/28,21,787,787
2/28,22,688,686
2/28,23,533,533
3/1,0,335,314
3/1,1,123,76
3/1,2,0,0
3/1,3,0,0
3/1,4,0,0
3/1,5,0,0
3/1,6,0,0
3/1,7,0,0
3/1,8,0,0
3/1,9,0,0
3/1,10,0,0
3/1,11,0,0
3/1,12,0,0
3/1,13,0,0
3/1,14,0,0
3/1,15,80,19
3/1,16,283,47
3/1,17,488,158
3/1,18,656,317
3/1,19,765,554
3/1,20,808,606
3/1,21,777,473
3/1,22,685,429
3/1,23,534,220
3/2,0,339,303
3/2,1,129,91
3/2,2,0,0
3/2,3,0,0
3/2,4,0,0
3/2,5,0,0
3/2,6,0,0
3/2,7,0,0
3/2,8,0,0
3/2,9,0,0
3/2,10,0,0
3/2,11,0,0
3/2,12,0,0
3/2,13,0,0
3/2,14,0,0
3/2,15,88,12
3/2,16,296,35
3/2,17,500,81
3/2,18,657,126
3/2,19,763,126
3/2,20,806,148
3/2,21,771,196
3/2,22,676,177
3/2,23,527,211
3/3,0,332,298
3/3,1,127,73
3/3,2,0,0
3/3,3,0,0
3/3,4,0,0
3/3,5,0,0
3/3,6,0,0
3/3,7,0,0
3/3,8,0,0
3/3,9,0,0
3/3,10,0,0
3/3,11,0,0
3/3,12,0,0
3/3,13,0,0
3/3,14,0,0
3/3,15,89,14
3/3,16,295,42
3/3,17,499,76
3/3,18,667,127
3/3,19,777,417
3/3,20,821,253
3/3,21,794,224
3/3,22,701,248
3/3,23,549,238
3/4,0,352,263
3/4,1,138,80
3/4,2,0,0
3/4,3,0,0
3/4,4,0,0
3/4,5,0,0
3/4,6,0,0
3/4,7,0,0
3/4,8,0,0
3/4,9,0,0
3/4,10,0,0
3/4,11,0,0
3/4,12,0,0
3/4,13,0,0
3/4,14,0,0
3/4,15,106,106
3/4,16,327,327
3/4,17,539,539
3/4,18,707,707
3/4,19,817,817
3/4,20,859,859
3/4,21,829,829
3/4,22,730,730
3/4,23,571,545
3/5,0,367,350
3/5,1,143,143
3/5,2,2,2
3/5,3,0,0
3/5,4,0,0
3/5,5,0,0
3/5,6,0,0
3/5,7,0,0
3/5,8,0,0
3/5,9,0,0
3/5,10,0,0
3/5,11,0,0
3/5,12,0,0
3/5,13,0,0
3/5,14,0,0
3/5,15,110,110
3/5,16,332,332
3/5,17,544,544
3/5,18,715,715
3/5,19,829,829
3/5,20,872,872
3/5,21,842,842
3/5,22,742,742
3/5,23,581,557
3/6,0,374,373
3/6,1,149,132
3/6,2,2,2
3/6,3,0,0
3/6,4,0,0
3/6,5,0,0
3/6,6,0,0
3/6,7,0,0
3/6,8,0,0
3/6,9,0,0
3/6,10,0,0
3/6,11,0,0
3/6,12,0,0
3/6,13,0,0
3/6,14,0,0
3/6,15,114,114
3/6,16,336,336
3/6,17,546,546
3/6,18,714,714
3/6,19,822,822
3/6,20,863,817
3/6,21,831,831
3/6,22,732,732
3/6,23,574,561
3/7,0,371,364
3/7,1,150,129
3/7,2,2,2
3/7,3,0,0
3/7,4,0,0
3/7,5,0,0
3/7,6,0,0
3/7,7,0,0
3/7,8,0,0
3/7,9,0,0
3/7,10,0,0
3/7,11,0,0
3/7,12,0,0
3/7,13,0,0
3/7,14,0,0
3/7,15,111,12
3/7,16,325,17
3/7,17,527,126
3/7,18,685,347
3/7,19,791,476
3/7,20,833,390
3/7,21,803,459
3/7,22,708,400
3/7,23,556,377
3/8,0,358,221
3/8,1,144,103
3/8,2,2,1
3/8,3,0,0
3/8,4,0,0
3/8,5,0,0
3/8,6,0,0
3/8,7,0,0
3/8,8,0,0
3/8,9,0,0
3/8,10,0,0
3/8,11,0,0
3/8,12,0,0
3/8,13,0,0
3/8,14,0,0
3/8,15,115,74
3/8,16,327,265
3/8,17,529,380
3/8,18,691,563
3/8,19,799,799
3/8,20,844,844
3/8,21,819,819
3/8,22,725,725
3/8,23,570,570
3/9,0,370,370
3/9,1,152,152
3/9,2,3,3
3/9,3,0,0
3/9,4,0,0
3/9,5,0,0
3/9,6,0,0
3/9,7,0,0
3/9,8,0,0
3/9,9,0,0
3/9,10,0,0
3/9,11,0,0
3/9,12,0,0
3/9,13,0,0
3/9,14,0,0
3/9,15,117,117
3/9,16,330,330
3/9,17,533,533
3/9,18,691,691
3/9,19,793,777
3/9,20,830,699
3/9,21,803,651
3/9,22,703,547
3/9,23,548,433
3/10,0,353,254
3/10,1,143,106
3/10,2,3,2
3/10,3,0,0
3/10,4,0,0
3/10,5,0,0
3/10,6,0,0
3/10,7,0,0
3/10,8,0,0
3/10,9,0,0
3/10,10,0,0
3/10,11,0,0
3/10,12,0,0
3/10,13,0,0
3/10,14,0,0
3/10,15,119,13
3/10,16,324,46
3/10,17,519,71
3/10,18,676,218
3/10,19,778,130
3/10,20,819,123
3/10,21,780,143
3/10,22,685,155
3/10,23,538,135
3/11,0,344,87
3/11,1,140,52
3/11,2,4,2
3/11,3,0,0
3/11,4,0,0
3/11,5,0,0
3/11,6,0,0
3/11,7,0,0
3/11,8,0,0
3/11,9,0,0
3/11,10,0,0
3/11,11,0,0
3/11,12,0,0
3/11,13,0,0
3/11,14,0,0
3/11,15,117,15
3/11,16,323,69
3/11,17,528,189
3/11,18,679,282
3/11,19,786,373
3/11,20,830,376
3/11,21,808,322
3/11,22,711,339
3/11,23,557,303
3/12,0,361,271
3/12,1,150,60
3/12,2,5,2
3/12,3,0,0
3/12,4,0,0
3/12,5,0,0
3/12,6,0,0
3/12,7,0,0
3/12,8,0,0
3/12,9,0,0
3/12,10,0,0
3/12,11,0,0
3/12,12,0,0
3/12,13,0,0
3/12,14,0,0
3/12,15,130,128
3/12,16,342,342
3/12,17,543,522
3/12,18,702,628
3/12,19,806,673
3/12,20,846,686
3/12,21,801,531
3/12,22,702,545
3/12,23,546,325
3/13,0,351,255
3/13,1,142,142
3/13,2,4,4
3/13,3,0,0
3/13,4,0,0
3/13,5,0,0
3/13,6,0,0
3/13,7,0,0
3/13,8,0,0
3/13,9,0,0
3/13,10,0,0
3/13,11,0,0
3/13,12,0,0
3/13,13,0,0
3/13,14,2,1
3/13,15,131,38
3/13,16,343,140
3/13,17,543,127
3/13,18,703,312
3/13,19,809,345
3/13,20,852,343
3/13,21,824,165
3/13,22,729,98
3/13,23,576,103
3/14,0,378,159
3/14,1,162,91
3/14,2,6,3
3/14,3,0,0
3/14,4,0,0
3/14,5,0,0
3/14,6,0,0
3/14,7,0,0
3/14,8,0,0
3/14,9,0,0
3/14,10,0,0
3/14,11,0,0
3/14,12,0,0
3/14,13,0,0
3/14,14,2,0
3/14,15,141,11
3/14,16,358,97
3/14,17,563,196
3/14,18,724,297
3/14,19,832,522
3/14,20,872,511
3/14,21,840,614
3/14,22,740,404
3/14,23,580,235
3/15,0,378,200
3/15,1,161,82
3/15,2,6,3
3/15,3,0,0
3/15,4,0,0
3/15,5,0,0
3/15,6,0,0
3/15,7,0,0
3/15,8,0,0
3/15,9,0,0
3/15,10,0,0
3/15,11,0,0
3/15,12,0,0
3/15,13,0,0
3/15,14,2,2
3/15,15,152,152
3/15,16,378,174
3/15,17,587,294
3/15,18,755,667
3/15,19,862,862
3/15,20,901,901
3/15,21,866,866
3/15,22,765,757
3/15,23,605,605
3/16,0,400,353
3/16,1,175,139
3/16,2,7,5
3/16,3,0,0
3/16,4,0,0
3/16,5,0,0
3/16,6,0,0
3/16,7,0,0
3/16,8,0,0
3/16,9,0,0
3/16,10,0,0
3/16,11,0,0
3/16,12,0,0
3/16,13,0,0
3/16,14,2,0
3/16,15,149,10
3/16,16,371,52
3/16,17,577,212
3/16,18,737,206
3/16,19,842,419
3/16,20,879,574
3/16,21,846,423
3/16,22,746,396
3/16,23,588,111
3/17,0,387,89
3/17,1,169,56
3/17,2,9,3
3/17,3,0,0
3/17,4,0,0
3/17,5,0,0
3/17,6,0,0
3/17,7,0,0
3/17,8,0,0
3/17,9,0,0
3/17,10,0,0
3/17,11,0,0
3/17,12,0,0
3/17,13,0,0
3/17,14,5,5
3/17,15,162,162
3/17,16,385,385
3/17,17,591,591
3/17,18,755,678
3/17,19,861,838
3/17,20,897,751
3/17,21,862,317
3/17,22,759,131
3/17,23,597,62
3/18,0,394,103
3/18,1,173,106
3/18,2,10,6
3/18,3,0,0
3/18,4,0,0
3/18,5,0,0
3/18,6,0,0
3/18,7,0,0
3/18,8,0,0
3/18,9,0,0
3/18,10,0,0
3/18,11,0,0
3/18,12,0,0
3/18,13,0,0
3/18,14,6,6
3/18,15,171,152
3/18,16,394,373
3/18,17,601,517
3/18,18,761,602
3/18,19,865,822
3/18,20,903,747
3/18,21,867,658
3/18,22,762,690
3/18,23,598,532
3/19,0,393,253
3/19,1,172,50
3/19,2,10,4
3/19,3,0,0
3/19,4,0,0
3/19,5,0,0
3/19,6,0,0
3/19,7,0,0
3/19,8,0,0
3/19,9,0,0
3/19,10,0,0
3/19,11,0,0
3/19,12,0,0
3/19,13,0,0
3/19,14,6,6
3/19,15,173,173
3/19,16,399,399
3/19,17,607,607
3/19,18,774,708
3/19,19,880,880
3/19,20,916,824
3/19,21,880,861
3/19,22,777,700
3/19,23,611,508
3/20,0,405,353
3/20,1,181,91
3/20,2,11,6
3/20,3,0,0
3/20,4,0,0
3/20,5,0,0
3/20,6,0,0
3/20,7,0,0
3/20,8,0,0
3/20,9,0,0
3/20,10,0,0
3/20,11,0,0
3/20,12,0,0
3/20,13,0,0
3/20,14,8,4
3/20,15,165,28
3/20,16,379,101
3/20,17,581,278
3/20,18,743,507
3/20,19,842,389
3/20,20,875,481
3/20,21,840,328
3/20,22,737,235
3/20,23,579,131
3/21,0,383,116
3/21,1,171,60
3/21,2,11,5
3/21,3,0,0
3/21,4,0,0
3/21,5,0,0
3/21,6,0,0
3/21,7,0,0
3/21,8,0,0
3/21,9,0,0
3/21,10,0,0
3/21,11,0,0
3/21,12,0,0
3/21,13,0,0
3/21,14,10,1
3/21,15,167,16
3/21,16,377,25
3/21,17,572,34
3/21,18,724,51
3/21,19,821,140
3/21,20,857,121
3/21,21,823,283
3/21,22,727,219
3/21,23,577,265
3/22,0,382,191
3/22,1,172,82
3/22,2,11,6
3/22,3,0,0
3/22,4,0,0
3/22,5,0,0
3/22,6,0,0
3/22,7,0,0
3/22,8,0,0
3/22,9,0,0
3/22,10,0,0
3/22,11,0,0
3/22,12,0,0
3/22,13,0,0
3/22,14,10,1
3/22,15,169,8
3/22,16,384,19
3/22,17,584,33
3/22,18,740,55
3/22,19,849,178
3/22,20,888,295
3/22,21,848,285
3/22,22,755,151
3/22,23,601,224
3/23,0,399,203
3/23,1,179,69
3/23,2,14,3
3/23,3,0,0
3/23,4,0,0
3/23,5,0,0
3/23,6,0,0
3/23,7,0,0
3/23,8,0,0
3/23,9,0,0
3/23,10,0,0
3/23,11,0,0
3/23,12,0,0
3/23,13,0,0
3/23,14,13,13
3/23,15,192,192
3/23,16,423,423
3/23,17,636,636
3/23,18,798,798
3/23,19,896,896
3/23,20,926,926
3/23,21,887,887
3/23,22,782,635
3/23,23,619,506
3/24,0,415,369
3/24,1,191,177
3/24,2,15,15
3/24,3,0,0
3/24,4,0,0
3/24,5,0,0
3/24,6,0,0
3/24,7,0,0
3/24,8,0,0
3/24,9,0,0
3/24,10,0,0
3/24,11,0,0
3/24,12,0,0
3/24,13,0,0
3/24,14,15,14
3/24,15,188,188
3/24,16,414,408
3/24,17,621,621
3/24,18,785,706
3/24,19,888,530
3/24,20,923,598
3/24,21,886,511
3/24,22,781,413
3/24,23,619,314
3/25,0,415,244
3/25,1,192,152
3/25,2,16,12
3/25,3,0,0
3/25,4,0,0
3/25,5,0,0
3/25,6,0,0
3/25,7,0,0
3/25,8,0,0
3/25,9,0,0
3/25,10,0,0
3/25,11,0,0
3/25,12,0,0
3/25,13,0,0
3/25,14,17,17
3/25,15,199,199
3/25,16,426,426
3/25,17,634,634
3/25,18,796,796
3/25,19,900,900
3/25,20,937,937
3/25,21,901,901
3/25,22,797,797
3/25,23,634,634
3/26,0,427,427
3/26,1,201,201
3/26,2,18,18
3/26,3,0,0
3/26,4,0,0
3/26,5,0,0
3/26,6,0,0
3/26,7,0,0
3/26,8,0,0
3/26,9,0,0
3/26,10,0,0
3/26,11,0,0
3/26,12,0,0
3/26,13,0,0
3/26,14,19,19
3/26,15,205,205
3/26,16,433,433
3/26,17,641,641
3/26,18,804,804
3/26,19,907,907
3/26,20,942,942
3/26,21,901,901
3/26,22,795,795
3/26,23,629,620
3/27,0,421,421
3/27,1,193,193
3/27,2,16,16
3/27,3,0,0
3/27,4,0,0
3/27,5,0,0
3/27,6,0,0
3/27,7,0,0
3/27,8,0,0
3/27,9,0,0
3/27,10,0,0
3/27,11,0,0
3/27,12,0,0
3/27,13,0,0
3/27,14,20,20
3/27,15,210,210
3/27,16,440,440
3/27,17,649,649
3/27,18,811,811
3/27,19,911,911
3/27,20,945,945
3/27,21,909,909
3/27,22,803,803
3/27,23,637,637
3/28,0,429,429
3/28,1,200,200
3/28,2,18,18
3/28,3,0,0
3/28,4,0,0
3/28,5,0,0
3/28,6,0,0
3/28,7,0,0
3/28,8,0,0
3/28,9,0,0
3/28,10,0,0
3/28,11,0,0
3/28,12,0,0
3/28,13,0,0
3/28,14,24,23
3/28,15,210,210
3/28,16,434,434
3/28,17,635,635
3/28,18,797,797
3/28,19,897,897
3/28,20,931,931
3/28,21,895,895
3/28,22,791,791
3/28,23,630,630
3/29,0,427,427
3/29,1,204,204
3/29,2,20,20
3/29,3,0,0
3/29,4,0,0
3/29,5,0,0
3/29,6,0,0
3/29,7,0,0
3/29,8,0,0
3/29,9,0,0
3/29,10,0,0
3/29,11,0,0
3/29,12,0,0
3/29,13,0,0
3/29,14,26,26
3/29,15,217,217
3/29,16,440,440
3/29,17,642,642
3/29,18,800,800
3/29,19,900,900
3/29,20,933,933
3/29,21,895,895
3/29,22,792,792
3/29,23,632,632
3/30,0,428,428
3/30,1,205,197
3/30,2,22,22
3/30,3,0,0
3/30,4,0,0
3/30,5,0,0
3/30,6,0,0
3/30,7,0,0
3/30,8,0,0
3/30,9,0,0
3/30,10,0,0
3/30,11,0,0
3/30,12,0,0
3/30,13,0,0
3/30,14,28,28
3/30,15,222,222
3/30,16,449,449
3/30,17,653,653
3/30,18,812,812
3/30,19,911,906
3/30,20,942,942
3/30,21,899,897
3/30,22,794,722
3/30,23,632,570
3/31,0,429,389
3/31,1,206,180
3/31,2,23,22
3/31,3,0,0
3/31,4,0,0
3/31,5,0,0
3/31,6,0,0
3/31,7,0,0
3/31,8,0,0
3/31,9,0,0
3/31,10,0,0
3/31,11,0,0
3/31,12,0,0
3/31,13,0,0
3/31,14,33,25
3/31,15,228,169
3/31,16,453,357
3/31,17,655,544
3/31,18,814,690
3/31,19,913,782
3/31,20,943,827
3/31,21,903,880
3/31,22,796,741
3/31,23,632,582
4/1,0,429,348
4/1,1,208,142
4/1,2,24,18
4/1,3,0,0
4/1,4,0,0
4/1,5,0,0
4/1,6,0,0
4/1,7,0,0
4/1,8,0,0
4/1,9,0,0
4/1,10,0,0
4/1,11,0,0
4/1,12,0,0
4/1,13,0,0
4/1,14,34,14
4/1,15,227,92
4/1,16,450,329
4/1,17,652,517
4/1,18,810,669
4/1,19,909,683
4/1,20,942,620
4/1,21,902,668
4/1,22,798,604
4/1,23,637,470
4/2,0,435,321
4/2,1,214,171
4/2,2,26,18
4/2,3,0,0
4/2,4,0,0
4/2,5,0,0
4/2,6,0,0
4/2,7,0,0
4/2,8,0,0
4/2,9,0,0
4/2,10,0,0
4/2,11,0,0
4/2,12,0,0
4/2,13,0,0
4/2,14,37,37
4/2,15,234,210
4/2,16,458,444
4/2,17,661,604
4/2,18,822,822
4/2,19,918,900
4/2,20,948,864
4/2,21,906,812
4/2,22,799,647
4/2,23,640,527
4/3,0,437,416
4/3,1,215,170
4/3,2,27,21
4/3,3,0,0
4/3,4,0,0
4/3,5,0,0
4/3,6,0,0
4/3,7,0,0
4/3,8,0,0
4/3,9,0,0
4/3,10,0,0
4/3,11,0,0
4/3,12,0,0
4/3,13,0,0
4/3,14,38,36
4/3,15,227,221
4/3,16,445,385
4/3,17,643,643
4/3,18,804,770
4/3,19,902,892
4/3,20,935,866
4/3,21,902,886
4/3,22,801,801
4/3,23,643,643
4/4,0,440,440
4/4,1,218,214
4/4,2,29,28
4/4,3,0,0
4/4,4,0,0
4/4,5,0,0
4/4,6,0,0
4/4,7,0,0
4/4,8,0,0
4/4,9,0,0
4/4,10,0,0
4/4,11,0,0
4/4,12,0,0
4/4,13,0,0
4/4,14,41,38
4/4,15,230,197
4/4,16,449,226
4/4,17,651,470
4/4,18,820,820
4/4,19,918,918
4/4,20,947,947
4/4,21,908,903
4/4,22,802,802
4/4,23,641,641
4/5,0,439,432
4/5,1,220,214
4/5,2,32,30
4/5,3,0,0
4/5,4,0,0
4/5,5,0,0
4/5,6,0,0
4/5,7,0,0
4/5,8,0,0
4/5,9,0,0
4/5,10,0,0
4/5,11,0,0
4/5,12,0,0
4/5,13,0,0
4/5,14,49,49
4/5,15,251,168
4/5,16,473,374
4/5,17,668,664
4/5,18,822,710
4/5,19,920,656
4/5,20,949,755
4/5,21,903,828
4/5,22,799,692
4/5,23,638,595
4/6,0,438,415
4/6,1,221,178
4/6,2,33,27
4/6,3,0,0
4/6,4,0,0
4/6,5,0,0
4/6,6,0,0
4/6,7,0,0
4/6,8,0,0
4/6,9,0,0
4/6,10,0,0
4/6,11,0,0
4/6,12,0,0
4/6,13,0,0
4/6,14,52,39
4/6,15,248,191
4/6,16,462,323
4/6,17,654,434
4/6,18,799,587
4/6,19,893,620
4/6,20,923,634
4/6,21,886,507
4/6,22,787,368
4/6,23,632,362
4/7,0,436,170
4/7,1,221,16
4/7,2,35,3
4/7,3,0,0
4/7,4,0,0
4/7,5,0,0
4/7,6,0,0
4/7,7,0,0
4/7,8,0,0
4/7,9,0,0
4/7,10,0,0
4/7,11,0,0
4/7,12,0,0
4/7,13,0,0
4/7,14,53,39
4/7,15,245,205
4/7,16,457,448
4/7,17,649,643
4/7,18,799,730
4/7,19,892,444
4/7,20,923,861
4/7,21,882,395
4/7,22,786,523
4/7,23,631,631
4/8,0,435,428
4/8,1,218,218
4/8,2,33,33
4/8,3,0,0
4/8,4,0,0
4/8,5,0,0
4/8,6,0,0
4/8,7,0,0
4/8,8,0,0
4/8,9,0,0
4/8,10,0,0
4/8,11,0,0
4/8,12,0,0
4/8,13,0,0
4/8,14,58,47
4/8,15,270,117
4/8,16,500,305
4/8,17,701,540
4/8,18,859,746
4/8,19,954,951
4/8,20,981,979
4/8,21,941,874
4/8,22,832,771
4/8,23,667,658
4/9,0,460,446
4/9,1,234,215
4/9,2,37,35
4/9,3,0,0
4/9,4,0,0
4/9,5,0,0
4/9,6,0,0
4/9,7,0,0
4/9,8,0,0
4/9,9,0,0
4/9,10,0,0
4/9,11,0,0
4/9,12,0,0
4/9,13,0,0
4/9,14,60,60
4/9,15,269,269
4/9,16,496,496
4/9,17,697,626
4/9,18,853,667
4/9,19,950,925
4/9,20,980,980
4/9,21,941,941
4/9,22,833,778
4/9,23,669,640
4/10,0,462,462
4/10,1,236,236
4/10,2,38,33
4/10,3,0,0
4/10,4,0,0
4/10,5,0,0
4/10,6,0,0
4/10,7,0,0
4/10,8,0,0
4/10,9,0,0
4/10,10,0,0
4/10,11,0,0
4/10,12,0,0
4/10,13,0,0
4/10,14,63,46
4/10,15,269,215
4/10,16,491,455
4/10,17,690,592
4/10,18,851,778
4/10,19,946,922
4/10,20,975,892
4/10,21,934,898
4/10,22,826,819
4/10,23,664,641
4/11,0,460,453
4/11,1,238,233
4/11,2,43,41
4/11,3,0,0
4/11,4,0,0
4/11,5,0,0
4/11,6,0,0
4/11,7,0,0
4/11,8,0,0
4/11,9,0,0
4/11,10,0,0
4/11,11,0,0
4/11,12,0,0
4/11,13,0,0
4/11,14,67,67
4/11,15,274,274
4/11,16,499,499
4/11,17,701,701
4/11,18,858,858
4/11,19,953,953
4/11,20,979,979
4/11,21,938,938
4/11,22,833,823
4/11,23,672,672
4/12,0,469,467
4/12,1,245,238
4/12,2,46,42
4/12,3,0,0
4/12,4,0,0
4/12,5,0,0
4/12,6,0,0
4/12,7,0,0
4/12,8,0,0
4/12,9,0,0
4/12,10,0,0
4/12,11,0,0
4/12,12,0,0
4/12,13,0,0
4/12,14,67,67
4/12,15,278,184
4/12,16,511,423
4/12,17,717,704
4/12,18,881,874
4/12,19,976,819
4/12,20,1001,1001
4/12,21,957,957
4/12,22,839,839
4/12,23,669,669
4/13,0,459,459
4/13,1,233,233
4/13,2,40,40
4/13,3,0,0
4/13,4,0,0
4/13,5,0,0
4/13,6,0,0
4/13,7,0,0
4/13,8,0,0
4/13,9,0,0
4/13,10,0,0
4/13,11,0,0
4/13,12,0,0
4/13,13,0,0
4/13,14,68,68
4/13,15,276,276
4/13,16,503,503
4/13,17,706,706
4/13,18,885,885
4/13,19,978,978
4/13,20,1006,1006
4/13,21,955,955
4/13,22,845,845
4/13,23,677,677
4/14,0,469,469
4/14,1,242,240
4/14,2,45,45
4/14,3,0,0
4/14,4,0,0
4/14,5,0,0
4/14,6,0,0
4/14,7,0,0
4/14,8,0,0
4/14,9,0,0
4/14,10,0,0
4/14,11,0,0
4/14,12,0,0
4/14,13,0,0
4/14,14,79,79
4/14,15,293,293
4/14,16,520,520
4/14,17,721,721
4/14,18,880,880
4/14,19,975,975
4/14,20,1002,1002
4/14,21,962,962
4/14,22,855,855
4/14,23,691,691
4/15,0,483,483
4/15,1,255,255
4/15,2,51,51
4/15,3,0,0
4/15,4,0,0
4/15,5,0,0
4/15,6,0,0
4/15,7,0,0
4/15,8,0,0
4/15,9,0,0
4/15,10,0,0
4/15,11,0,0
4/15,12,0,0
4/15,13,0,0
4/15,14,85,55
4/15,15,296,222
4/15,16,516,374
4/15,17,711,548
4/15,18,860,709
4/15,19,951,671
4/15,20,971,699
4/15,21,932,732
4/15,22,829,477
4/15,23,666,457
4/16,0,464,357
4/16,1,244,187
4/16,2,49,39
4/16,3,0,0
4/16,4,0,0
4/16,5,0,0
4/16,6,0,0
4/16,7,0,0
4/16,8,0,0
4/16,9,0,0
4/16,10,0,0
4/16,11,0,0
4/16,12,0,0
4/16,13,0,0
4/16,14,86,86
4/16,15,303,288
4/16,16,530,450
4/16,17,734,514
4/16,18,889,765
4/16,19,984,922
4/16,20,1011,994
4/16,21,958,870
4/16,22,850,232
4/16,23,688,171
4/17,0,483,273
4/17,1,258,191
4/17,2,55,37
4/17,3,0,0
4/17,4,0,0
4/17,5,0,0
4/17,6,0,0
4/17,7,0,0
4/17,8,0,0
4/17,9,0,0
4/17,10,0,0
4/17,11,0,0
4/17,12,0,0
4/17,13,0,0
4/17,14,93,93
4/17,15,313,313
4/17,16,541,541
4/17,17,741,741
4/17,18,894,894
4/17,19,988,988
4/17,20,1013,1013
4/17,21,972,972
4/17,22,863,863
4/17,23,698,698
4/18,0,491,491
4/18,1,262,262
4/18,2,56,56
4/18,3,0,0
4/18,4,0,0
4/18,5,0,0
4/18,6,0,0
4/18,7,0,0
4/18,8,0,0
4/18,9,0,0
4/18,10,0,0
4/18,11,0,0
4/18,12,0,0
4/18,13,0,0
4/18,14,95,85
4/18,15,310,288
4/18,16,533,533
4/18,17,725,725
4/18,18,883,858
4/18,19,976,840
4/18,20,998,884
4/18,21,958,934
4/18,22,850,842
4/18,23,685,685
4/19,0,479,479
4/19,1,254,254
4/19,2,55,55
4/19,3,0,0
4/19,4,0,0
4/19,5,0,0
4/19,6,0,0
4/19,7,0,0
4/19,8,0,0
4/19,9,0,0
4/19,10,0,0
4/19,11,0,0
4/19,12,0,0
4/19,13,0,0
4/19,14,99,60
4/19,15,316,304
4/19,16,539,539
4/19,17,739,739
4/19,18,892,892
4/19,19,987,987
4/19,20,1017,1017
4/19,21,975,975
4/19,22,864,864
4/19,23,701,701
4/20,0,494,494
4/20,1,267,267
4/20,2,61,60
4/20,3,0,0
4/20,4,0,0
4/20,5,0,0
4/20,6,0,0
4/20,7,0,0
4/20,8,0,0
4/20,9,0,0
4/20,10,0,0
4/20,11,0,0
4/20,12,0,0
4/20,13,0,0
4/20,14,102,102
4/20,15,318,318
4/20,16,541,541
4/20,17,737,737
4/20,18,892,892
4/20,19,986,986
4/20,20,1011,1011
4/20,21,968,968
4/20,22,861,861
4/20,23,697,697
4/21,0,493,493
4/21,1,267,267
4/21,2,62,62
4/21,3,0,0
4/21,4,0,0
4/21,5,0,0
4/21,6,0,0
4/21,7,0,0
4/21,8,0,0
4/21,9,0,0
4/21,10,0,0
4/21,11,0,0
4/21,12,0,0
4/21,13,0,0
4/21,14,106,106
4/21,15,322,322
4/21,16,544,544
4/21,17,739,739
4/21,18,892,892
4/21,19,981,981
4/21,20,1005,966
4/21,21,962,785
4/21,22,852,604
4/21,23,687,673
4/22,0,484,462
4/22,1,261,204
4/22,2,61,45
4/22,3,0,0
4/22,4,0,0
4/22,5,0,0
4/22,6,0,0
4/22,7,0,0
4/22,8,0,0
4/22,9,0,0
4/22,10,0,0
4/22,11,0,0
4/22,12,0,0
4/22,13,0,0
4/22,14,106,106
4/22,15,320,320
4/22,16,541,541
4/22,17,736,736
4/22,18,887,887
4/22,19,978,978
4/22,20,1004,1004
4/22,21,964,964
4/22,22,860,860
4/22,23,701,701
4/23,0,498,498
4/23,1,274,274
4/23,2,67,67
4/23,3,0,0
4/23,4,0,0
4/23,5,0,0
4/23,6,0,0
4/23,7,0,0
4/23,8,0,0
4/23,9,0,0
4/23,10,0,0
4/23,11,0,0
4/23,12,0,0
4/23,13,0,0
4/23,14,115,115
4/23,15,334,334
4/23,16,558,558
4/23,17,754,754
4/23,18,904,904
4/23,19,994,994
4/23,20,1018,1018
4/23,21,971,971
4/23,22,863,863
4/23,23,699,689
4/24,0,495,485
4/24,1,271,261
4/24,2,67,65
4/24,3,0,0
4/24,4,0,0
4/24,5,0,0
4/24,6,0,0
4/24,7,0,0
4/24,8,0,0
4/24,9,0,0
4/24,10,0,0
4/24,11,0,0
4/24,12,0,0
4/24,13,0,0
4/24,14,118,112
4/24,15,339,332
4/24,16,562,539
4/24,17,755,634
4/24,18,902,902
4/24,19,988,892
4/24,20,1011,731
4/24,21,968,698
4/24,22,860,860
4/24,23,697,672
4/25,0,494,483
4/25,1,272,265
4/25,2,68,66
4/25,3,0,0
4/25,4,0,0
4/25,5,0,0
4/25,6,0,0
4/25,7,0,0
4/25,8,0,0
4/25,9,0,0
4/25,10,0,0
4/25,11,0,0
4/25,12,0,0
4/25,13,0,0
4/25,14,115,91
4/25,15,330,267
4/25,16,549,418
4/25,17,742,656
4/25,18,891,891
4/25,19,979,979
4/25,20,1001,951
4/25,21,960,960
4/25,22,853,853
4/25,23,691,691
4/26,0,490,490
4/26,1,270,267
4/26,2,69,69
4/26,3,0,0
4/26,4,0,0
4/26,5,0,0
4/26,6,0,0
4/26,7,0,0
4/26,8,0,0
4/26,9,0,0
4/26,10,0,0
4/26,11,0,0
4/26,12,0,0
4/26,13,0,0
4/26,14,114,114
4/26,15,323,323
4/26,16,537,537
4/26,17,729,729
4/26,18,883,883
4/26,19,973,973
4/26,20,999,999
4/26,21,959,959
4/26,22,854,854
4/26,23,694,694
4/27,0,494,494
4/27,1,274,274
4/27,2,71,71
