datetime,energy_price,battery_charge,household_demand,solar_produced
1570939260.0,0.27906,0.0,0.004833333333333333,0.0
1570939320.0,0.27906,0.0,0.004833333333333333,0.0
1570939380.0,0.27906,0.0,0.004833333333333333,0.0
1570939440.0,0.27906,0.0,0.004833333333333333,0.0
1570939500.0,0.27906,0.0,0.004833333333333333,0.0
1570939560.0,0.27906,0.0,0.004833333333333333,0.0
1570939620.0,0.27906,0.0,0.004833333333333333,0.0
1570939680.0,0.27906,0.0,0.004833333333333333,0.0
1570939740.0,0.27906,0.0,0.004833333333333333,0.0
1570939800.0,0.27906,0.0,0.004833333333333333,0.0
1570939860.0,0.27906,0.0,0.004833333333333333,0.0
1570939920.0,0.27906,0.0,0.004833333333333333,0.0
1570939980.0,0.27906,0.0,0.004833333333333333,0.0
1570940040.0,0.27906,0.0,0.004833333333333333,0.0
1570940100.0,0.27906,0.0,0.004833333333333333,0.0
1570940160.0,0.27906,0.0,0.004833333333333333,0.0
1570940220.0,0.27906,0.0,0.004833333333333333,0.0
1570940280.0,0.27906,0.0,0.004833333333333333,0.0
1570940340.0,0.27906,0.0,0.004833333333333333,0.0
1570940400.0,0.27906,0.0,0.004833333333333333,0.0
1570940460.0,0.27906,0.0,0.004833333333333333,0.0
1570940520.0,0.27906,0.0,0.004833333333333333,0.0
1570940580.0,0.27906,0.0,0.004833333333333333,0.0
1570940640.0,0.27906,0.0,0.004833333333333333,0.0
1570940700.0,0.27906,0.0,0.004833333333333333,0.0
1570940760.0,0.27906,0.0,0.004833333333333333,0.0
1570940820.0,0.27906,0.0,0.004833333333333333,0.0
1570940880.0,0.27906,0.0,0.004833333333333333,0.0
1570940940.0,0.27906,0.0,0.004833333333333333,0.0
1570941000.0,0.27906,0.0,0.004833333333333333,0.0
1570941060.0,0.27906,0.0,0.004833333333333333,0.0
1570941120.0,0.27906,0.0,0.004833333333333333,0.0
1570941180.0,0.27906,0.0,0.004833333333333333,0.0
1570941240.0,0.27906,0.0,0.004833333333333333,0.0
1570941300.0,0.27906,0.0,0.004833333333333333,0.0
